Geneid SRR420912 SRR420913 SRR420914 SRR420915 SRR420916 SRR420917
BGIOSGA000322 1022 418 541 519 392 236
BGIOSGA000323 0 0 6 2 0 2
BGIOSGA000324 2 0 10 0 0 2
BGIOSGA000325 906 907 1419 968 928 921
BGIOSGA000326 654 139 247 281 43 263
BGIOSGA000327 184 84 199 149 36 104
BGIOSGA000328 270 407 425 332 427 347
BGIOSGA000329 383 150 304 276 41 157
BGIOSGA000330 0 0 0 0 0 0
BGIOSGA000331 37 3 24 19 0 14
BGIOSGA000332 260 64 69 139 3 56
BGIOSGA000333 3914 3081 2210 2871 2274 2026
BGIOSGA000334 194 116 141 195 117 122
BGIOSGA000335 4 0 0 0 2 2
BGIOSGA000336 0 0 0 0 0 0
BGIOSGA000337 0 0 4 8 4 4
BGIOSGA000338 521 131 285 550 118 295
BGIOSGA000339 525 55 74 142 74 97
BGIOSGA000340 0 0 0 0 0 0
BGIOSGA000341 0 0 0 0 0 0
BGIOSGA000342 4 16 0 4 6 12
BGIOSGA000343 10 6 8 6 11 3
BGIOSGA000344 82 259 488 9 129 110
BGIOSGA000345 105 23 53 64 55 45
BGIOSGA000346 7 6 7 16 0 6
BGIOSGA000347 18 0 6 18 0 10
BGIOSGA000348 1 0 0 0 0 0
BGIOSGA000349 0 0 0 0 0 0
BGIOSGA000350 0 0 2 0 0 1
BGIOSGA000351 6 0 0 14 0 9
BGIOSGA000352 10 0 2 4 4 7
BGIOSGA000353 11 19 16 15 12 16
BGIOSGA000354 439 430 587 579 504 870
BGIOSGA000355 0 2 0 0 0 0
BGIOSGA000356 35 177 25 256 34 142
BGIOSGA000357 3 0 2 8 0 2
BGIOSGA000358 216 98 222 270 169 260
BGIOSGA000359 759 209 495 500 371 246
BGIOSGA000360 0 0 0 0 0 0
BGIOSGA000361 596 309 468 1403 194 907
BGIOSGA000362 18 17 37 53 6 29
BGIOSGA000363 374 265 295 466 173 208
BGIOSGA000364 101 151 129 153 172 209
BGIOSGA000365 0 0 0 0 0 0
BGIOSGA000366 244 273 198 296 242 249
BGIOSGA000367 9 27 4 0 27 6
BGIOSGA000368 89 59 49 59 65 46
BGIOSGA000369 833 268 706 1146 63 482
BGIOSGA000370 471 941 846 460 998 741
BGIOSGA000371 113 113 219 170 106 204
BGIOSGA000372 35 75 84 100 66 77
BGIOSGA000373 291 294 392 357 271 355
BGIOSGA000374 138 4652 269 611 3554 1320
BGIOSGA000375 1816 2345 879 616 3173 918
BGIOSGA000376 0 0 0 0 0 0
BGIOSGA000377 46 33 30 32 55 43
BGIOSGA000378 95 223 8 12 416 17
BGIOSGA000379 0 2 1 0 0 0
BGIOSGA000380 25 28 0 71 64 87
BGIOSGA000381 92 131 149 171 141 160
